status,employee id,employee email,employee first name,employee last name,start date,end date,employee job title,annual salary (usd),benefits and others,bonus target - % of salary,commission - % of salary,cost center,equity,function,job family,job level,job location,manager’s employee id,okr,employment type
ACTIVE,E000053,dfdemostagingjeanette.aw@gmail.com,Jeanette,Aw,7/30/2021,,FE Engineer,72463,10735,0.12,0.00,201 - Eng B2B,2684,Engineering,Engineering/FE,Mid-level,Asia - Singapore,E000020,New bug reports reduced from 72/mon to 60/mon,Permanent Full-time
ACTIVE,E000054,dfdemostagingrosie.barnes@gmail.com,Rosie,Barnes,8/24/2021,,Senior Financial Analyst,81860,12246,0.14,0.00,600 - Finance,4710,Finance,Finance/FP&A,Senior,US - SF Bay Area,E000046,Reduce average quarterly budget revision and approval time to less than 7 business days,Permanent Full-time
ACTIVE,E000055,dfdemostagingdeanna.robinson@gmail.com,Deanna,Robinson,9/18/2021,,Account Executive,69841,12506,0.14,0.15,401 - Sales,4810,Sales,Sales,Mid-level,US - Remote,E000034,4x Consumers,Permanent Full-time
ACTIVE,E000056,dfdemostagingtony.morgan@gmail.com,Tony,Morgan,9/24/2021,,Chief Administrative Officer,141000,16920,0.30,0.00,700 - Admin,16920,Administrative,Administrative/Management,C-level,US - SF Bay Area,E000001,7 teams complete the move and consolidation of 100% of document to the new structure,Permanent Full-time
ACTIVE,E000057,dfdemostagingkirsten.harper@gmail.com,Kirsten,Harper,9/30/2021,,Associate Customer Success Manager,63985,11460,0.12,0.00,402 - Cust Success,2865,Sales,Customer Success,Associate,US - Remote,E000022,Ensure to obtain 100% feedback from all customers,Permanent Full-time
ACTIVE,E000058,dfdemostagingdaryl.hill@gmail.com,Daryl,Hill,10/19/2021,,Senior BE Engineer,87853,12818,0.14,0.00,201 - Eng B2B,4930,Engineering,Engineering/BE,Senior,US - SF Bay Area,E000020,New bug reports reduced from 72/mon to 60/mon,Permanent Full-time
ACTIVE,E000060,dfdemostagingtess.phillips@gmail.com,Tess,Phillips,12/6/2021,,Principal BE Engineer,56979,8207,0.16,0.00,202 - Eng B2C,4690,Engineering,Engineering/BE,Principal,Europe - Krakow,E000007,New bug reports reduced from 72/mon to 60/mon,Permanent Full-time
ACTIVE,E000061,dfdemostagingabigail.hill@gmail.com,Abigail,Hill,1/17/2022,,Chief of Staff,107676,13958,0.16,0.00,100 - C-Suite,7976,CEO Office,General Management,Principal,US - SF Bay Area,E000001,Make sure all OKRs are scored and closed by January 7th,Permanent Full-time
ACTIVE,E000062,dfdemostagingaston.richardson@gmail.com,Aston,Richardson,2/7/2022,,Account Executive,69914,12519,0.14,0.15,401 - Sales,4815,Sales,Sales,Mid-level,US - Remote,E000034,2x B2B Customers,Permanent Full-time
ACTIVE,E000063,dfdemostagingsabrina.riley@gmail.com,Sabrina,Riley,3/7/2022,,Full Stack Engineer,81000,12000,0.12,0.00,201 - Eng B2B,3000,Engineering,Engineering/Full stack,Mid-level,US - Remote,E000020,Average code review time reduced by 30%,Permanent Full-time
ACTIVE,E000063,dfdemostagingBailee.Hanna@gmail.com,Bailee,Hanna,9/1/2018,,FE Engineer,72463,10735,0.30,0.00,201 - Eng B2B,17964,Engineering,Engineering/FE,Mid-level,Asia - Singapore,E000008,,Permanent Full-time
ACTIVE,E000064,dfdemostagingCortez.Sanchez@gmail.com,Cortez,Sanchez,9/1/2018,,Senior FE Engineer,78827,11501,0.30,0.00,201 - Eng B2B,17964,Engineering,Engineering/FE,Senior,Asia - Singapore,E000008,,Permanent Full-time
ACTIVE,E000065,dfdemostagingKatelyn.Greene@gmail.com,Katelyn,Greene,9/1/2018,,Associate Account Executive,63624,11568,0.30,0.00,401 - Sales,17964,Sales,Sales,Associate,US - Remote,E000008,,Permanent Full-time
ACTIVE,E000066,dfdemostagingMarques.Hanna@gmail.com,Marques,Hanna,9/1/2018,,FE Engineer,72244,10703,0.30,0.00,201 - Eng B2B,17964,Engineering,Engineering/FE,Mid-level,Asia - Singapore,E000008,,Permanent Full-time
ACTIVE,E000067,dfdemostagingKamila.Rhodes@gmail.com,Kamila,Rhodes,9/1/2018,,Senior BE Engineer,52337,7636,0.30,0.00,202 - Eng B2C,17964,Engineering,Engineering/BE,Senior,Europe - Krakow,E000008,,Permanent Full-time
ACTIVE,E000068,dfdemostagingWyatt.Mayo@gmail.com,Wyatt,Mayo,9/1/2018,,Talent Acquisition Manager,98490,14070,0.30,0.00,700 - Admin,17964,Administrative,Administrative/Talent Acquisition,Manager,US - Remote,E000008,,Permanent Full-time
ACTIVE,E000069,dfdemostagingJustine.Underwood@gmail.com,Justine,Underwood,9/1/2018,,Associate Customer Success Manager,63985,11460,0.30,0.00,402 - Cust Success,17964,Sales,Customer Success,Associate,US - Remote,E000009,,Permanent Full-time
ACTIVE,E000070,dfdemostagingJustine.Perez@gmail.com,Justine,Perez,9/1/2018,,Product Manager,79786,11676,30%,0.00,300 - Product,17964,Product,Product Management,Mid-level,US - Remote,E000009,,Permanent Full-time
ACTIVE,E000071,dfdemostagingAntoine.Sanchez@gmail.com,Antoine,Sanchez,9/1/2018,,Principal FE Engineer,95062,13692,0.30,0.00,201 - Eng B2B,17964,Engineering,Engineering/FE,Principal,US - Remote,E000009,,Permanent Full-time
ACTIVE,E000072,dfdemostagingCortez.Shields@gmail.com,Cortez,Shields,9/1/2018,,FE Engineer,47968,7106,0.30,0.00,202 - Eng B2C,17964,Engineering,Engineering/FE,Mid-level,Europe - Krakow,E000009,,Permanent Full-time
ACTIVE,E000073,dfdemostagingKatelyn.Fowler@gmail.com,Katelyn,Fowler,9/1/2018,,Senior Account Executive,75953,13426,0.30,0.00,401 - Sales,17964,Sales,Sales,Senior,US - SF Bay Area,E000009,,Permanent Full-time
ACTIVE,E000074,dfdemostagingRyann.Cochran@gmail.com,Ryann,Cochran,9/1/2018,,Senior FE Engineer,52444,7652,0.30,0.00,202 - Eng B2C,17964,Engineering,Engineering/FE,Senior,Europe - Krakow,E000009,,Permanent Full-time
ACTIVE,E000075,dfdemostagingAbigail.Middleton@gmail.com,Abigail,Middleton,9/1/2018,,VP of Product Management,143762,16558,0.30,0.00,300 - Product,17964,Product,Product Management,VP,US - SF Bay Area,E000009,,Permanent Full-time
ACTIVE,E000076,dfdemostagingRyan.Kline@gmail.com,Ryan,Kline,9/1/2018,,Chief of Staff,107676,13958,0.30,0.00,100 - C-Suite,17964,CEO Office,General Management,Principal,US - SF Bay Area,E000010,,Permanent Full-time
ACTIVE,E000078,dfdemostagingTyrell.Lane@gmail.com,Tyrell,Lane,9/1/2018,,Engineering Director,126490,15616,0.30,0.00,201 - Eng B2B,17964,Engineering,Engineering/Management,Director,US - SF Bay Area,E000010,,Permanent Full-time
ACTIVE,E000079,dfdemostagingAbigail.Robles@gmail.com,Abigail,Robles,9/1/2018,,Associate Account Executive,63822,11604,0.30,0.00,401 - Sales,17964,Sales,Sales,Associate,US - Remote,E000010,,Permanent Full-time
ACTIVE,E000080,dfdemostagingEmerson.Lane@gmail.com,Emerson,Lane,9/1/2018,,Human Resources Manager,98595,14085,0.30,0.00,700 - Admin,17964,Administrative,Administrative/Human Resources,Manager,US - SF Bay Area,E000010,,Permanent Full-time
ACTIVE,E000081,dfdemostagingZack.Rice@gmail.com,Zack,Rice,9/1/2018,,FE Engineer,48017,7114,0.30,0.00,202 - Eng B2C,17964,Engineering,Engineering/FE,Mid-level,Europe - Krakow,E000010,,Permanent Full-time
ACTIVE,E000082,dfdemostagingKaylen.Coleman@gmail.com,Kaylen,Coleman,9/1/2018,,Marketing Associate - SEO/SEM,70741,10417,0.30,0.00,500 - Marketing,17964,Marketing,Marketing/SEO-SEM,Associate,US - Remote,E000010,,Permanent Full-time
ACTIVE,E000083,dfdemostagingAbigail.Lester@gmail.com,Abigail,Lester,9/1/2018,,Senior Product Marketing Manager,86187,12272,0.30,0.00,500 - Marketing,17964,Marketing,Marketing/Product Marketing,Senior,US - SF Bay Area,E000011,,Permanent Full-time
ACTIVE,E000084,dfdemostagingAiden.Rice@gmail.com,Aiden,Rice,9/1/2018,,FE Engineer,47968,7106,0.30,0.00,202 - Eng B2C,17964,Engineering,Engineering/FE,Mid-level,Europe - Krakow,E000011,,Permanent Full-time
ACTIVE,E000085,dfdemostagingEmerson.Fowler@gmail.com,Emerson,Fowler,9/1/2018,,Senior Account Executive,75794,13398,0.30,0.00,401 - Sales,17964,Sales,Sales,Senior,US - Remote,E000011,,Permanent Full-time
ACTIVE,E000086,dfdemostagingKatelyn.Galloway@gmail.com,Katelyn,Galloway,9/1/2018,,FE Engineer,47968,7106,0.30,0.00,202 - Eng B2C,17964,Engineering,Engineering/FE,Mid-level,Europe - Krakow,E000011,,Permanent Full-time
ACTIVE,E000087,dfdemostagingWyatt.Lester@gmail.com,Wyatt,Lester,9/1/2018,,Product Manager,79786,11676,0.30,0.00,300 - Product,17964,Product,Product Management,Mid-level,US - Remote,E000011,,Permanent Full-time
ACTIVE,E000088,dfdemostagingKamila.Young@gmail.com,Kamila,Young’,9/1/2018,,Full Stack Engineer,81000,12000,30%,0.00,201 - Eng B2B,17964,Engineering,Engineering/Full stack,Mid-level,US - Remote,E000011,,Permanent Full-time
ACTIVE,E000089,dfdemostagingIreland.Young@gmail.com,Ireland,Young,9/1/2018,,Senior FE Engineer,78907,11513,.30,0.00,201 - Eng B2B,17964,Engineering,Engineering/FE,Senior,Asia - Singapore,E000011,,Permanent Full-time
ACTIVE,E000090,dfdemostagingAiden.Gentry@gmail.com,Aiden,Gentry,9/1/2018,,Senior FE Engineer,52444,7652,0.30,0.00,202 - Eng B2C,17964,Engineering,Engineering/FE,Senior,Europe - Krakow,E000012,,Permanent Full-time
ACTIVE,E000091,dfdemostagingKatelyn.Lane@gmail.com,Katelyn,Lane,9/1/2018,,Associate Customer Success Manager,63717,11412,0.30,0.00,402 - Cust Success,17964,Sales,Customer Success,Associate,US - Remote,E000012,,Permanent Full-time
ACTIVE,E000092,dfdemostagingWyatt.Ingram@gmail.com,Wyatt,Ingram,9/1/2018,,employee job title,annual salary (usd),benefits and others,0.30,0.00,cost center,17964,function,job family,job level,job location,E000012,,Permanent Full-time
ACTIVE,E000093,dfdemostagingAiden.Galloway@gmail.com,Aiden,Galloway,9/1/2018,,Senior Product Designer,83226,12610,0.30,0.00,300 - Product,17964,Product,Design,Senior,US - Remote,E000012,,Permanent Full-time
ACTIVE,E000094,dfdemostagingIreland.Middleton@gmail.com,Ireland,Middleton,9/1/2018,,VP of Product Management,143762,16558,0.30,0.00,300 - Product,17964,Product,Product Management,VP,US - SF Bay Area,E000012,,Permanent Full-time
ACTIVE,E000095,dfdemostagingPaulina.Rhodes@gmail.com,Paulina,Rhodes,9/1/2018,,Senior Product Marketing Manager,86187,12272,0.30,0.00,500 - Marketing,17964,Marketing,Marketing/Product Marketing,Senior,US - SF Bay Area,E000012,,Permanent Full-time
ACTIVE,E000096,dfdemostagingSheldon.Middleton@gmail.com,Sheldon,Middleton,9/1/2018,,BE Engineer,48065,7121,0.30,0.00,202 - Eng B2C,17964,Engineering,Engineering/BE,Mid-level,Europe - Krakow,E000012,,Permanent Full-time
ACTIVE,E000097,dfdemostagingKatelyn.Moody@gmail.com,Katelyn,Moody,9/1/2018,,Product Marketing Manager,78435,11340,0.30,0.00,500 - Marketing,17964,Marketing,Marketing/Product Marketing,Mid-level,US - Boston,E000013,,Permanent Full-time
ACTIVE,E000098,dfdemostagingAdalyn.Tapia@gmail.com,Adalyn,Tapia,9/1/2018,,General Counsel,112440,14992,0.30,0.00,700 - Admin,17964,Administrative,Administrative/Legal,Director,US - SF Bay Area,E000013,,Permanent Full-time
ACTIVE,E000099,dfdemostagingKamila.Robles@gmail.com,Kamila,Robles,9/1/2018,,employee job title,annual salary (usd),benefits and others,0.30,0.00,cost center,17964,function,job family,job level,job location,E000013,,Permanent Full-time
ACTIVE,E000100,dfdemostagingKamila.Hanna@gmail.com,Kamila,Hanna,9/1/2018,,Talent Acquisition Manager,98490,14070,0.30,0.00,700 - Admin,17964,Administrative,Administrative/Talent Acquisition,Manager,US - Remote,E000013,,Permanent Full-time
ACTIVE,E000101,dfdemostagingAbigail.Perez@gmail.com,Abigail,Perez,9/1/2018,,Senior Full Stack Engineer,87496,12766,0.30,0.00,202 - Eng B2C,17964,Engineering,Engineering/Full stack,Senior,US - Boston,E000013,,Permanent Full-time
ACTIVE,E000102,dfdemostagingAbigail.Galloway@gmail.com,Abigail,Galloway,9/1/2018,,Product Manager,79786,11676,0.30,0.00,300 - Product,17964,Product,Product Management,Mid-level,US - Remote,E000013,,Permanent Full-time
ACTIVE,E000103,dfdemostagingLily.Young@gmail.com,Lily,Young,9/1/2018,,Associate Account Executive,63822,11604,0.30,0.00,401 - Sales,17964,Sales,Sales,Associate,US - Remote,E000013,,Permanent Full-time
ACTIVE,E000104,dfdemostagingAdalyn.Golden@gmail.com,Adalyn,Golden,9/1/2018,,Chief of Staff,107676,13958,0.30,0.00,100 - C-Suite,17964,CEO Office,General Management,Principal,US - SF Bay Area,E000014,,Permanent Full-time
ACTIVE,E000105,dfdemostagingMarques.Cooper@gmail.com,Marques,Cooper,9/1/2018,,Associate Account Executive,63888,11616,0.30,0.00,401 - Sales,17964,Sales,Sales,Associate,US - Remote,E000014,,Permanent Full-time
ACTIVE,E000106,dfdemostagingPaulina.Dennis@gmail.com,Paulina,Dennis,9/1/2018,,Senior FE Engineer,52391,7644,0.30,0.00,202 - Eng B2C,17964,Engineering,Engineering/FE,Senior,Europe - Krakow,E000014,,Permanent Full-time
ACTIVE,E000107,dfdemostagingBailee.Galloway@gmail.com,Bailee,Galloway,9/1/2018,,FE Engineer,48017,7114,0.30,0.00,202 - Eng B2C,17964,Engineering,Engineering/FE,Mid-level,Europe - Krakow,E000014,,Permanent Full-time
ACTIVE,E000108,dfdemostagingLyla.Galloway@gmail.com,Lyla,Galloway,9/1/2018,,Associate Customer Success Manager,63985,11460,0.30,0.00,402 - Cust Success,17964,Sales,Customer Success,Associate,US - Remote,E000014,,Permanent Full-time
